question,design,value
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,It is attached to the neck of the t-shirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Is is worn on sunglasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It is worn on a hat.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,It is around the neck.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,Is is attached to the chest on the clothing
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Is is work like a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Is is worn as a cuff around the upper arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Maybe a small ring on the finger. It could have a device on the ring that logs light exposure.
Do you have any other comments on this survey?,general,I enjoyed this survey.
In what situations or activities do you think wearing the light logger might be difficult,wrist,showering
In what situations or activities do you think wearing the light logger might be difficult,collarpin,sleeping
In what situations or activities do you think wearing the light logger might be difficult,glasses,exercise
In what situations or activities do you think wearing the light logger might be difficult,hatpin,nil
In what situations or activities do you think wearing the light logger might be difficult,neckloop,exercise
In what situations or activities do you think wearing the light logger might be difficult,chestpin,exercise
In what situations or activities do you think wearing the light logger might be difficult,necklace,nil
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,nil
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,beanie
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,collar
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,shirt
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,armband
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,leg / anklet
Do you have any other comments on this survey?,general,nil
In what situations or activities do you think wearing the light logger might be difficult,wrist,"wearing in the bath, shower or swimming pool"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,doing vigorous exercise
In what situations or activities do you think wearing the light logger might be difficult,glasses,If you wear spectacles throughout the day you wouldn't be able to use these Light logger at the same time.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,You would have a wear a hat all the time to be able to attach the light logger so it would only be worn at certain times.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,wearing it in water might be difficult.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,you'd need to find material that is easy to attach it to.
In what situations or activities do you think wearing the light logger might be difficult,necklace,I don't think it would be difficult to wear at all.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,You'd have to take it off when in water situations.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,The light logger is placed on the wrist.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,The light logger is placed in the neck area of clothing.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,They would be worn across the head in the eye area the same as you would wear spectacles.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It's placed on a hat that is placed on the head.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,it's worn around the  neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,It's placed on the chest.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,It's placed around the neck on some kind of cord.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,It's placed around the top of the arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,You could use a light logger on a head band.
Do you have any other comments on this survey?,general,The survey was easy to understand and complete.
In what situations or activities do you think wearing the light logger might be difficult,wrist,"showering, washing up dishes"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I think wearing the light logger at work might be difficult as I don't think it is business appropriate.
In what situations or activities do you think wearing the light logger might be difficult,glasses,"i think wearing the light logger at work, in a business setting could be difficult and inappropriate."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,I think wearing the light logger to work might be difficult as it's not appropriate to wear a hat in a business context.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,difficult in a social setting as it looks quite casual.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,I don't think there are any situations or activities when wearing the light logger might be difficult.
In what situations or activities do you think wearing the light logger might be difficult,necklace,difficult in a social setting as the light logger is quite predominante
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,difficult in a social setting as the light logger would stand out.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,the placement of the light logger is worn on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,"The placement of the light logger is worn at the neck of the body, attached to the collar of clothing."
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,the light logger is worn on the face like glasses.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,"On the head, attached to a hat."
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,"on the chest, attached to clothing"
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,around the arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,alternative designs would be a light logger that is fairly small and unobtrusive when worn on the body.  Perhaps something like a badge worn on an item of clothing.
Do you have any other comments on this survey?,general,none
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Active hobbies, using a computer."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"probably not many, perhaps during physical activities depending on the material used"
In what situations or activities do you think wearing the light logger might be difficult,glasses,"I don't wear glasses, so it would feel strange for me to wear them at all just for a light logger."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"I think any activity where you take your hat on and off frequently, which for me is many.  Entering/exiting warm areas, exercising."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,So long a it was comfortable I don't think it would make anything difficult.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,none
In what situations or activities do you think wearing the light logger might be difficult,necklace,Exercise
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,None
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,On the wrist like a watch
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,on the neck of the tshirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,On the side of a pair of glasses on the head.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,on the side of a hat on the head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck/over the shoulders
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,left side of chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,around the bicep/on the upper arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,A hair accessory. A belt buckle.
Do you have any other comments on this survey?,general,"Nope, seemed very straight forward. Thanks."
In what situations or activities do you think wearing the light logger might be difficult,wrist,I don't think it would it would be difficult to wear in any scenario
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I don't think wearing it would be difficult
In what situations or activities do you think wearing the light logger might be difficult,glasses,It wouldn't be difficult to wear
In what situations or activities do you think wearing the light logger might be difficult,hatpin,If you weren't wearing a hat you couldn't wear this.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,It wouldn't be difficult to wear
In what situations or activities do you think wearing the light logger might be difficult,chestpin,It wouldn't be difficult to wear
In what situations or activities do you think wearing the light logger might be difficult,necklace,It wouldn't be difficult to wear
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,It wouldn't be difficult to wear
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,clipped onto the neck of a top or jumper
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,by your ear
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,on your head (on a hat)
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,round your neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,on your chest (pinned to a top)
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,round your neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,on your arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Anything small and unobtrusive will work.
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Whilst sleeping, and it depends if it is waterproof for swimming etc."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Anything involving movement as I often wear my glasses around my neck when not reading so it would hit my glasses. Also when I've worn microphones on the front of my shirt they have always fallen off.
In what situations or activities do you think wearing the light logger might be difficult,glasses,Doing exercise or swimming etc - anything involving water that would obscure the glass
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Anytime when I would be too hot to wear a hat, so most of the time."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Swimming etc as it might not attach to a swimming costume
In what situations or activities do you think wearing the light logger might be difficult,chestpin,Swimming if it's not waterproof
In what situations or activities do you think wearing the light logger might be difficult,necklace,Doing exercise or moving around a lot as it would swing around
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,I find arm bands to be uncomfortable and not to look very stylish
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,On the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,On the neckline of your shirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,On glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,On a beanie hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Around the neck like an open necklace
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,On the chest of a t shirt
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,On a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Arm band
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,On a belt or a ring.
Do you have any other comments on this survey?,general,N/A
In what situations or activities do you think wearing the light logger might be difficult,wrist,When exercising or doing something creative
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"Every time you got changed, you would have to remove and replace the light logger onto the most external piece of clothing"
In what situations or activities do you think wearing the light logger might be difficult,glasses,"doing anything, it's unclear whether it is a pair of glasses or if it fits onto a pair of glasses - feels incredibly restrictive"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"when it is warm, when you are indoors doing regular tasks, when exercising"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"during exercise, when going outside, when doing household tasks"
In what situations or activities do you think wearing the light logger might be difficult,chestpin,when putting on extra layers or removing layers of clothing
In what situations or activities do you think wearing the light logger might be difficult,necklace,"doing exercise, in a professional setting"
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"doing exercise, when putting on additional layers of clothing, during household tasks, in the workplace"
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,on a shirt/jumper collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,on a pair of glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,on a hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,badge on chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,on your sleeve
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"I think a lot of them are quite bulky and ugly, so something more subtle and in a comfortable body position (i.e. the watch) would be ideal"
Do you have any other comments on this survey?,general,n/a
In what situations or activities do you think wearing the light logger might be difficult,wrist,while doing housework like washing dishes
In what situations or activities do you think wearing the light logger might be difficult,collarpin,It feels like it could fall doing all activities
In what situations or activities do you think wearing the light logger might be difficult,glasses,during all activities as it is jot attractive
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Might be difficult around people, not polite"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Doing everything
In what situations or activities do you think wearing the light logger might be difficult,chestpin,Not applicable
In what situations or activities do you think wearing the light logger might be difficult,necklace,Not applicable
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,With people
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It looks appropriate
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Not appropriate
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,I don't like it
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Is not bad
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Ugly
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,Looks appropriate
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Looks good
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Ugly
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Could be a ring or earrings
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,"washing up, showering, gardening, swimming"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"showering, swimming, sleeping/napping"
In what situations or activities do you think wearing the light logger might be difficult,glasses,"reading, if you have prescription glasses unless it sticks onto any glasses. sleeping, showering"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"showering, swimming, when it is too hot to wear a hat"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"showering, swimming, sleeping"
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"showering, swimming"
In what situations or activities do you think wearing the light logger might be difficult,necklace,"showering, swimming, running, doing certain chores"
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"showering, swimming, napping"
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,on the collar of a garment
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,on a hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,like a name badge
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,on a necklace/lanyard
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,armband
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"a hair clip, hairband, headband"
Do you have any other comments on this survey?,general,no
In what situations or activities do you think wearing the light logger might be difficult,wrist,Swimming; watersports
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Gym;  other strenuous activity; swimming
In what situations or activities do you think wearing the light logger might be difficult,glasses,If you already wear glasses
In what situations or activities do you think wearing the light logger might be difficult,hatpin,if you don't want to wear a hat
In what situations or activities do you think wearing the light logger might be difficult,neckloop,strenuous activity
In what situations or activities do you think wearing the light logger might be difficult,chestpin,none
In what situations or activities do you think wearing the light logger might be difficult,necklace,when doing household tasks and strenuous activity
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,in cold weather when the arm would be covered
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,"On the wrist, like a watch"
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,On the neck line of a t shirt/top
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,as a pair of glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,attached to a hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,as a collar
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,like a badge on the chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,as a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,around the upper arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"The most practical would be the wristwatch style. Unlikely to be used if wearer already uses a smart device (Fitbit etc.), unless it was incorporated in to it."
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,doing exercise
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Its in an annoying place
In what situations or activities do you think wearing the light logger might be difficult,glasses,exercise
In what situations or activities do you think wearing the light logger might be difficult,hatpin,hot weather
In what situations or activities do you think wearing the light logger might be difficult,neckloop,exercise
In what situations or activities do you think wearing the light logger might be difficult,chestpin,running
In what situations or activities do you think wearing the light logger might be difficult,necklace,exercise
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,working
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,t shirt collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,on the nose and ears
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,on the head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,round the back of the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,on the chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,round the neck in the middle of the chest
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,round the upper arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,no
Do you have any other comments on this survey?,general,no
In what situations or activities do you think wearing the light logger might be difficult,wrist,"When cooking foods which require kneeding, swimming or showering."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,n/a
In what situations or activities do you think wearing the light logger might be difficult,glasses,Whilst sleeping or showering.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,Inside buildings at work etc as can be rude to wear hats indoors or not part of uniform. Also in the summer as it would be too hot to wear to wear a hat.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,When exercising or doing physical activity.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,n/a
In what situations or activities do you think wearing the light logger might be difficult,necklace,When doing exercise as jewellery/necklaces can be a safety concern
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,n/a
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,On the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Near the collarbone clipped on a shirt.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,"On the face, resting on the nose and ears as glasses."
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Worn as a hat on the head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Resting on the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,On the chest area on a shirt.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,worn as a necklace around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Around the bicep/wrapped at the top of the arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,As a fashionable headband or hair clip for females.
Do you have any other comments on this survey?,general,n/a
In what situations or activities do you think wearing the light logger might be difficult,wrist,showering or other wet activites
In what situations or activities do you think wearing the light logger might be difficult,collarpin,high movement activities
In what situations or activities do you think wearing the light logger might be difficult,glasses,"high movement activities, activities that require other facial wear, wet."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,indoor scenarios.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,heavy exercise or cold weathering when extra layers may be necessary
In what situations or activities do you think wearing the light logger might be difficult,chestpin,any situations that may require extra layers to be worn
In what situations or activities do you think wearing the light logger might be difficult,necklace,high exercise situations
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,showering or bathing
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,on the wrists
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,attached to the collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,as glasses on the face
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,as a hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,as a neck placement
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,as a patch on the shirt
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,as a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,as an armband
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,no
Do you have any other comments on this survey?,general,no
In what situations or activities do you think wearing the light logger might be difficult,wrist,none
In what situations or activities do you think wearing the light logger might be difficult,collarpin,none
In what situations or activities do you think wearing the light logger might be difficult,glasses,Unsure but maybe running where they slip or steam up
In what situations or activities do you think wearing the light logger might be difficult,hatpin,none
In what situations or activities do you think wearing the light logger might be difficult,neckloop,none
In what situations or activities do you think wearing the light logger might be difficult,chestpin,none
In what situations or activities do you think wearing the light logger might be difficult,necklace,It could get caught in some exercise machines
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,none
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,Being on the wrist doesn't restrict any movement.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Being by the neck it is unsightly and may rub the neck
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,It is unsightly on the eyes and no good if you wear glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It just looks ridiculous being on the head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,It  could pass as headphones so ok in some circumstances
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,It is unobtrusive and easy to wear
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Its a little unpractible being like a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,It is in a practible place and not likely to get caught in anything
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,A self adhesive strip that you could place temporarily on any t-shirt
Do you have any other comments on this survey?,general,none
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Maybe during shower or baths, doing aquatic sports or other activities involving water, unless it is waterproof (might be a bit uncomfortable tho)"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Any situation or activity when you are not using clothes.
In what situations or activities do you think wearing the light logger might be difficult,glasses,"Any activity involving water, difficult for peopole who are not used to wear glasses"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"During summer (too hot to wear a cap), might not be formal enough to wear at work"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,The design seems like it might fall when you move your arms
In what situations or activities do you think wearing the light logger might be difficult,chestpin,Any activitie that involves not wearing a shirt
In what situations or activities do you think wearing the light logger might be difficult,necklace,When running
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,Might look unprofessional at work
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,Placed in the left or right wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Attached to the shirt collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,In the face like eyeglasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,In the head attached to a cap
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Resting in your collarbones and shoulders
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,Chest near the heart
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Hanging like a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,In the upper arm (biceps) like a band
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"Earrings, rings or a devided attached to your shoe could be a good alternative. Something small and discreet that you can use at work, and waterproof for those doing water sports."
Do you have any other comments on this survey?,general,Some of the designes were very attractive!
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Where I live, at certain times of the year there is hardly any daylight."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I would be worried about it falling off all the time.
In what situations or activities do you think wearing the light logger might be difficult,glasses,I already have to wear glasses.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,I don't often wear hats.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Would worry about it falling off and it also looks uncomfortable
In what situations or activities do you think wearing the light logger might be difficult,chestpin,I can't think of any.
In what situations or activities do you think wearing the light logger might be difficult,necklace,It could be annoying to some with it moving all the time.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,I can't think of any.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,Wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Lower neck/ upper chest
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Face
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,On the front side of a hat.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Around the back of your neck.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,Over your heart.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,A necklace around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Armband around the arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"Maybe a little niche but a piece of body jewellery, like an ear-piercing."
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,In bed
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"Anything that involves bending down, so housework, working out, even social contexts."
In what situations or activities do you think wearing the light logger might be difficult,glasses,"anything involving bending down, or anything involving heat such as cooking and showering. also running or working out"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Anything where wearing a hat is not appropriate, such as events, restaurants, the sauna, some forms of training, even at home most of the time it is not comfortable."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"Any activities involving movement, which is many situations. Also any situation where appearance is important, which is person specific. For me, I would never wear it outside the house."
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"Any situation where appearance is important. The front of the top is not necessarily the most secure position either, so working out again."
In what situations or activities do you think wearing the light logger might be difficult,necklace,The movement of the necklace would not be appropriate for excercise. Also sleeping
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"Swimming, sleeping"
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,The light logger is on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,The light logger is on the t shirt neck hem
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,glasses on the face
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It is on the hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,It is around the neck/shoulders
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,It is a chest pin
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Necklace around neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,It is an arm band around the bicep / sleeve
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,I could envision a ring.
Do you have any other comments on this survey?,general,N/a
In what situations or activities do you think wearing the light logger might be difficult,wrist,I could see it being annoying when doing exercise/weightlifting
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I could see this being irritating when exercising.
In what situations or activities do you think wearing the light logger might be difficult,glasses,This would be very uncofmortable and annoying
In what situations or activities do you think wearing the light logger might be difficult,hatpin,Social activities
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"Exercising, social activities."
In what situations or activities do you think wearing the light logger might be difficult,chestpin,Social situations
In what situations or activities do you think wearing the light logger might be difficult,necklace,Exercising.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,Social situations.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It is placed on the wrist.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,It is placed on your clothing
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,It is placed on your glasses/face
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It is placed on a hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,It is placed around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,It is placed on your clothing/t-shirt
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,It is placed around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,It is placed around the upper arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Having it placed around your wrist is probably the most likely way to enable continuous wear without it interrupting daily activities
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,if they are not properly fit
